target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,adx,bb_upper,bb_lower,bb_position,z_score,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7
0.0,-178.0,-0.0034388825563648195,-0.0034388825563648195,-0.004400609909092634,-0.005609746693912121,0.006733283890862252,0.0009617273527278147,0,0.0013619866783997365,0.010887735666075572,0.1250936576871045,51580,52457.0,51474.0,67.90832719606757,65.38528957232558,-2.523037623741999,29.780905874246038,53045.92563441407,46657.67436558594,0.6830234833913283,0.7320939335653129,791.8988957508191,607.3240730629482,184.5748226878709,45.23809523809524,72.6429527634347,983.0,1.0190970198546838,51376.53757496055,51081.02278479122,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51583.0,51811.0,51281.0,51294.0
1.0,-562.0,-0.010895062326735538,-0.010895062326735538,-0.014296478043314464,-0.015247727316592963,-0.005070103937130699,0.003401415716578926,0,0.005169134478063356,0.009637309113701031,0.5363669896936869,51021,51580.0,50775.0,57.21739794008033,59.178636923678404,1.9612389835980721,31.23331643477262,53090.30022890642,46939.19977109358,0.7095966419085964,0.838386567634385,738.4177423674773,633.5471639821773,104.87057838530006,14.625445897740784,48.06696351114213,805.0,1.0158542589857213,51352.35838112032,51121.57734105762,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,51021.0,51761.0,51874.0,51238.0
0.0,283.0,0.005546735657866453,0.005546735657866453,-0.005408758699571581,-0.008829041169992835,-0.010988163627250636,0.010955494357438034,0,0.008232746326170793,0.0070187107799877775,1.172971302599411,51303,51432.0,50995.0,60.72056092159402,61.17711766994881,0.4565567483547852,30.80405985505321,52986.55684477424,47482.543155225765,0.5424145020647919,0.16965800825916805,709.6999517348304,648.7797462901931,60.920205444637304,31.450653983353153,30.438065039729725,437.0,1.0085694675948622,51057.57223630702,51002.71333630311,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51304.0,51583.0,51811.0,51281.0
0.0,-836.0,-0.016295025728988,-0.016295025728988,-0.010838674271378412,-0.0216156485663882,-0.025921136438208148,-0.005456351457609587,0,0.01137654653363968,0.007748411606860541,1.4682424102982272,50472,51303.0,50399.0,47.731668307896065,52.93301119902122,5.201342891125158,30.41542110333055,52844.46403745482,47906.335962545185,0.4978939387876869,-0.008424244849252336,615.0089625633991,642.0248712433126,-27.015908679913537,3.3527696793002915,16.476289853464746,904.0,1.0179368638266633,50826.714814925486,50886.74010274758,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50468.0,51021.0,51761.0,51874.0
0.0,-103.0,-0.002040897202187475,-0.002040897202187475,-0.018302666458755668,-0.012857450853570151,-0.02697011263306348,0.016261769256568193,0,0.011089145540856642,0.007721837534989728,1.4360759975341015,50355,50734.0,50114.0,46.35719296990487,52.00318841676666,5.6459954468617894,28.705768117175428,52823.739298944456,48067.16070105554,0.40235628604852003,-0.3905748558059194,525.9094005706575,618.7998013383418,-92.89040076768435,10.712761416986769,15.172061693213406,620.0,1.0123717923135251,50544.809869062956,50722.030622146485,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50365.0,51304.0,51583.0,51811.0
0.0,-384.0,-0.007624342301201237,-0.007624342301201237,-0.009649679004517742,-0.02578746296585066,-0.031056743500765704,0.002025336703316505,0,0.007182569066115845,0.007928892355132238,0.9058729447205435,49978,50401.0,49779.0,41.36173193788464,48.57720844731184,7.215476509427198,26.576563532987556,52807.76825234665,48151.131747653344,0.2211614007897498,-1.1153543968409994,420.52468534376385,579.1420791747133,-158.61739383094948,11.215991116046641,8.4271740707779,622.0,1.0124952289117901,50090.206571254166,50441.80222491902,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49981.0,50468.0,51021.0,51761.0
0.0,-800.0,-0.016006082311278313,-0.016006082311278313,-0.02350838876203709,-0.025501307759372316,-0.036063581662452715,0.007502306450758778,0,0.007029163296597496,0.008883799052243378,0.7912339366593912,49177,49978.0,48952.0,33.021677864551705,42.32171527184422,9.300037407292514,24.921625219935688,52811.199469716055,48142.40053028395,0.03225657640642967,-1.8709736943742816,271.3706356359253,517.5844389502329,-246.2138033143076,9.233870967741936,10.387541166925116,1026.0,1.0209593070763197,49491.13770703484,50051.06412401134,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49181.0,50365.0,51304.0,51583.0
1.0,-888.0,-0.018055753238039096,-0.018055753238039096,-0.033772833676797176,-0.041139680333564965,-0.05868938094495557,0.01571708043875808,0,0.005526738800861924,0.007956743930860063,0.69459804775501,48309,49177.0,48293.0,26.379479099608716,36.676003884400764,10.296524784792048,24.756880602815095,52871.19008183616,48032.509918163836,0.18052238467715276,-1.2779104612913899,82.68498172653926,430.6007588318873,-347.915777105348,0.0,6.8166206945961925,884.0,1.0183049303211646,49296.091803141295,49842.85024826091,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48293.0,49981.0,50468.0,51021.0
0.0,613.0,0.012693351003250974,0.012693351003250974,-0.005591590248266609,-0.021508173105780237,-0.03095030514385355,0.018284941251517584,0,0.017191887792041366,0.010041865414970479,1.7120213308586656,48908,48937.0,48309.0,36.32607320919558,42.38934814183121,6.063274932635636,25.441383604022217,52900.525493455934,47955.474506544066,0.18695974943491747,-1.252161002260329,-18.431192737007223,340.7912391130839,-359.22243185009114,25.112658746415402,11.448843238052447,628.0,1.012999648098698,49157.39453469339,49667.77253304525,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48906.0,49181.0,50365.0,51304.0
0.0,-26.0,-0.0005316321105794941,-0.0005316321105794941,0.012154970699687295,-0.006120249689920865,-0.02948476124292665,-0.01268660281026679,0,0.01542456056258276,0.01006551882892306,1.5324158470858558,48858,49633.0,48684.0,36.09338811805615,42.21537177595425,6.121983657898106,26.067356376658026,52863.51429562657,48029.48570437343,0.1171929964691646,-1.5312280141233408,-99.42927975905332,252.74468095883273,-352.1739607178861,27.84629981024668,17.652986185554028,949.0,1.0194930572672747,48970.263022468585,49472.89201890711,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48880.0,48293.0,49981.0,50468.0
