target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7
1.0,-1869.0,-0.03020947824400333,-0.03020947824400333,-0.04725684795553786,-0.07163966640362684,-0.06963870367498837,0.017047369711534532,0,0.006391197009635454,0.018068340566058803,0.3537235191172594,60006,61923.0,59996.0,47.898233392211786,50.57123444166813,2.673001049456346,256.66109242058883,712.8337128815224,-456.17262046093356,46.979599920776394,-7.336177189118364,1927.0,1.0321188079205281,62220.67712837999,62802.79851660154,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,59999.0,62975.0,63656.0,63489.0
0.0,2369.0,0.03948399139985659,0.03948399139985659,0.008081722376672928,-0.009638745533942061,-0.020233756440869666,0.03140226902318366,0,0.03713228767473679,0.0234023642036727,1.5866895904863045,62378,62368.0,60006.0,46.96071348525845,49.87976185495841,2.919048369699958,183.898644642235,607.0123582407107,-423.11371359847567,43.19667260843732,17.47344492442532,2362.0,1.0393627303936273,62206.118078920925,62688.93398646584,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,62368.0,61868.0,64629.0,64490.0
1.0,-191.0,-0.0030624679322729387,-0.0030624679322729387,0.036300605010083586,0.004994504428783797,-0.03793962462671552,-0.039363072942356525,0,0.03512914526326484,0.023199750999869123,1.5142035474201,62175,63036.0,62022.0,47.58314042290115,50.27461726048196,2.691476837580808,132.63568153908273,512.1123854588577,-379.476703919775,48.8034188034188,46.32656377754417,1014.0,1.0163490374383284,62230.74539346421,62614.53799240852,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,62177.0,59999.0,62975.0,63656.0
0.0,103.0,0.00165656110780521,0.00165656110780521,-0.0014109799897383812,0.03801730028833816,-0.011036125446605816,0.0030675410975435913,0,0.023321609861820084,0.023221703425345238,1.0043022871597698,62280,62413.0,60168.0,45.883487417278445,49.10565163132029,3.2221642140418467,69.0803493418789,423.48757158175465,-354.40722223987575,65.625,52.541697137285375,2245.0,1.0373121925275894,62150.830246047946,62501.11211262519,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,62280.0,62368.0,61868.0,64629.0
0.0,-289.0,-0.0046403339755940465,-0.0046403339755940465,-0.0029914598645801593,-0.006044766546947189,0.0019881037046616257,-0.0016488741110138871,0,0.003276425491881555,0.02126828141975947,0.1540521975996408,61987,63028.0,60710.0,35.98213412257488,41.9180121877522,5.93587806517732,-132.10390604584245,312.3508102944272,-444.45471634026967,0.5263157894736842,38.31824486429749,2318.0,1.0381815186954373,61437.88673398315,62048.36555726014,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,61991.0,62177.0,59999.0,62975.0
1.0,-1979.0,-0.03192398896614024,-0.03192398896614024,-0.03641618497109822,-0.034819949499010905,0.00021667027783789372,0.004492196004957982,0,0.017849846220641296,0.022125977499976055,0.8067370682565601,60040,61987.0,59342.0,48.19104817983818,49.62579184934137,1.4347436695031917,-141.30942460488586,221.60670135355892,-362.9161259584448,70.14076881429345,45.43069486792238,2645.0,1.0445721411479223,61602.92450424774,62027.38314890631,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60012.0,62280.0,62368.0,61868.0
0.0,1921.0,0.0320102646137439,0.0320102646137439,-0.0009356196867287281,-0.005571612074502297,-0.006974730631092885,0.03294588430047263,0,0.0320812847503984,0.02513581261896553,1.2763177875614953,61936,61933.0,60040.0,35.77927162516299,40.31105214208469,4.5317805169217,-384.9310150369274,100.2862570729818,-485.21727210990923,-13.941526800216568,18.908519267850185,1893.0,1.031528980679547,60677.61628037665,61445.33977939128,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61933.0,61991.0,62177.0,59999.0
1.0,-3106.0,-0.05015096959617649,-0.05015096959617649,-0.01974605078984204,-0.05103966704844254,-0.053878443797545694,-0.030404918806334447,0,0.04314757623668263,0.02831961829001509,1.5235931429166039,58818,62372.0,58805.0,36.72372288239845,40.926174600313374,4.202451717914926,-558.9424508765442,-31.570701666427098,-527.3717492101171,4.309732417712526,20.169658143929798,3567.0,1.0606581073038006,60114.07749759992,60998.27117165767,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,58827.0,60012.0,62280.0,62368.0
1.0,160.0,0.00271983952946786,0.00271983952946786,-0.04756753265625757,-0.01707991734986336,-0.052874116891457934,0.05028737218572543,0,0.041640765014817116,0.02788855262334487,1.4931131628523664,58994,59170.0,57824.0,41.70296639159664,44.127365387989066,2.4243989963924264,-625.1084811022156,-150.28633692105578,-474.82214418115984,38.220599538816295,9.529601718770747,1346.0,1.0232775318206973,60013.71832904402,60782.72876775729,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,58987.0,61933.0,61991.0,62177.0
1.0,826.0,0.014003085425602357,0.014003085425602357,0.016761011100345113,-0.03423053945392607,-0.03513413237405427,-0.002757925674742756,0,0.03425000455301767,0.02823900627914163,1.2128615367855908,59820,61083.0,58994.0,49.40794319345704,49.22496166900956,-0.18298152444747728,-559.9445315500416,-232.22243687245734,-327.7220946775842,74.97801231310466,39.169448089877825,2089.0,1.035410380716683,60420.47889329582,60864.79009237269,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,59813.0,58827.0,60012.0,62280.0
