ds,close,target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,adx,bb_upper,bb_lower,bb_position,z_score,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7,daily_return
2015-07-16,53070,1.0,-337.0,-0.00632994609215054,-0.00632994609215054,-0.004085167265949985,0.005913559354262077,0.010660247592847227,-0.0022447788262005552,0,0.008188169217133657,0.00925419790228112,0.884805933868705,52902,53334.0,52790.0,48.879309887132266,47.382449208976915,-1.4968606781553504,22.40629887198349,54435.925547557395,51815.37445244261,0.4787640087980945,-0.08494396480762212,-317.87141463717126,-375.5410587784528,57.66964414128154,72.09554831704669,87.38012559476154,544.0,1.0103049820041674,52929.87386275353,52883.45703074662,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,52902.0,53119.0,51782.0,52149.0,0.0032
2015-07-17,52342,0.0,168.0,0.0031756833390041983,0.0031756833390041983,-0.0031743646574878825,-0.000922457124569398,0.024873508168861802,0.006350047996492081,0,0.005243543671404441,0.009072458675017337,0.5779628058095753,53070,53417.0,52714.0,51.23025957235668,48.83376234083921,-2.396497231517472,21.96862153650252,54425.87283648492,51807.52716351507,0.20412615568772643,-1.1834953772490933,-278.6233728591542,-356.1575215945931,77.53414873543892,78.77675840978593,81.04317485820052,703.0,1.0133361156429033,52733.91590850236,52785.0102978836,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,53070.0,53239.0,52591.0,52344.0,-0.0137
2015-07-20,51600,0.0,-728.0,-0.01371773129828524,-0.01371773129828524,-0.010585611130013994,-0.016848550874358992,-0.004734650415470276,-0.0031321201682712463,0,0.008468803725456072,0.009829959198244085,0.8615298959703561,52341,53310.0,52221.0,41.848202772541846,43.26482617172667,1.4166233991848216,21.383826151289632,54261.70199031793,51781.998009682065,-0.07339505485465085,-2.2935802194186,-302.7723615190116,-345.48048957947685,42.70812806046524,10.117056856187292,53.663121194339936,1089.0,1.0208536795542023,52355.94393900157,52569.55388008658,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,52342.0,52902.0,53119.0,51782.0,-0.0142
2015-07-21,51474,0.0,-742.0,-0.014175996331817653,-0.014175996331817653,-0.027699265121537642,-0.024611545877282537,-0.028596170861650227,0.013523268789719989,0,0.009888362287281155,0.010212670899632823,0.9682444861350298,51603,52424.0,51525.0,34.58560589920103,38.4517240043803,3.8661181051792752,21.575648540985014,54257.12753045931,51571.672469540696,-0.036370919387973245,-2.1454836775518937,-377.43299523805035,-351.8709907111916,-25.562004526858743,3.964059196617336,30.95262482086349,899.0,1.0174478408539545,52061.96262600104,52370.362265525386,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,51600.0,53070.0,53239.0,52591.0,-0.0024
2015-07-22,50916,0.0,-126.0,-0.0024418604651162967,-0.0024418604651162967,-0.016583240991937642,-0.030073487846240865,-0.03315238828678224,0.014141380526821345,0,0.006646367609773346,0.010048242096869177,0.6614458077044357,51474,51998.0,51244.0,33.475754921503906,37.685050348610964,4.209295427107058,22.615190753481507,54205.48135085122,51384.31864914878,-0.16600199941186322,-2.664007997647456,-441.6778450721904,-369.8323615833914,-71.845483488799,10.584445467096181,8.221853839966908,754.0,1.0147139177269533,51679.9750840007,52105.93276270259,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,51474.0,52342.0,52902.0,53119.0,-0.0108
2015-07-23,49807,0.0,-558.0,-0.010840424291875483,-0.010840424291875483,-0.013255813953488405,-0.027243895915326166,-0.0375411137575139,0.002415389661612921,0,0.006046374391925416,0.010297469025827554,0.5871709229481756,50916,51474.0,50592.0,28.861474613676577,34.412686134599596,5.551211520923019,23.86995182223527,54216.10079418506,51088.099205814935,-0.4095583616638964,-3.638233446655593,-531.4915838872912,-402.1642060441714,-129.3273778431198,11.469026548672566,8.672510404128666,882.0,1.0174335863377608,51055.65005600047,51687.94498766576,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50916.0,51600.0,53070.0,53239.0,-0.0218
2015-07-24,49246,0.0,-1109.0,-0.02178097258229239,-0.02178097258229239,-0.03238528188988621,-0.034748062015503844,-0.06148483135481442,0.010604309307593818,0,0.009697359853140351,0.011744116905506767,0.825720650702421,49804,51063.0,49668.0,22.062083930051614,29.019300174908608,6.957216244856994,25.618557227632266,54368.67948059818,50531.92051940183,-0.33515801550401875,-3.3406320620160788,-684.2688255927205,-458.58512995388134,-225.6836956388392,3.8165842943437673,8.623352103370811,1395.0,1.0280864943223,50452.433370666986,51243.95498990835,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49807.0,51474.0,52342.0,52902.0,-0.0113
2015-07-27,48736,0.0,-561.0,-0.01126347702130226,-0.01126347702130226,-0.03279912011941233,-0.04328398803279321,-0.05914944022009094,0.02153564309811007,0,0.006198014243587181,0.009697965712031197,0.6391045738487183,49246,49831.0,48624.0,19.453879976595047,26.736521393303292,7.282641416708245,27.844609621346493,54613.52822699236,49894.07177300764,-0.24538244696163322,-2.981529787846533,-840.9202961529008,-535.0521631936853,-305.8681329592156,16.36842105263158,10.551343965215942,1207.0,1.024823132609411,49880.28891377799,50787.96317356138,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49246.0,50916.0,51600.0,53070.0,-0.0104
2015-07-28,49602,1.0,-510.0,-0.010356171059578423,-0.010356171059578423,-0.021503001586122394,-0.042815617880430534,-0.0555038759689922,0.011146830526543972,0,0.006350420023077537,0.0077878319038648365,0.8154284917123134,48740,49298.0,48640.0,17.35546616116541,24.82467718301905,7.4692110218536385,30.40767336780435,54677.77810723116,49301.72189276884,0.05585471863619536,-1.776581125455218,-994.7535531883259,-626.9924411926135,-367.76111199571244,3.319502074688797,7.834835807221353,658.0,1.0135279605263159,49787.52594251867,50572.33350564113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48736.0,49807.0,51474.0,52342.0,0.0178
2015-07-29,50245,1.0,866.0,0.017769205515430153,0.017769205515430153,0.007229013523941008,-0.004115887325074841,-0.03636787504371142,0.010540191991489145,0,0.01650634558219402,0.01104321562287326,1.4947046354872626,49602,49871.0,48740.0,31.47537278565588,33.5179693153606,2.042596529704724,32.78766113237236,54662.10163703642,48976.19836296358,0.2231486495421106,-1.1074054018315582,-1034.859340857809,-708.5658211256526,-326.29351973215637,34.31578947368421,18.00123753366817,1131.0,1.0232047599507592,49940.01729501245,50512.8183227973,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49602.0,49246.0,50916.0,51600.0,0.013
2015-07-30,49897,0.0,643.0,0.01296318696826737,0.01296318696826737,0.03096273801707161,0.020285911546115365,-0.013178568622829734,-0.01799955104880424,1,0.01504397487696518,0.012729157439721868,1.1818515835164256,50245,50333.0,49422.0,40.03338372692112,39.14504411919511,-0.8883396077260102,33.87597609853637,54538.14909889045,48816.55090110955,0.1888369405788577,-1.2446522376845703,-1003.1945381389378,-767.4915645283097,-235.70297361062808,66.46166461664616,34.69898538833969,911.0,1.0184330864797053,49925.67819667497,50400.85135501597,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50245.0,48736.0,49807.0,51474.0,-0.0069
2015-07-31,50865,1.0,-348.0,-0.006926062294755675,-0.006926062294755675,0.005947340833030834,0.023822225869993385,0.0018069749232034749,-0.012873403127786509,0,0.01309284984727111,0.012398905482764877,1.0559681953758622,49897,50645.0,49612.0,37.20433458950128,37.304716635739126,0.10038204623784708,34.0747279125345,54453.109786269575,48615.49021373043,0.3853471022420732,-0.45861159103170696,-994.7141993917976,-812.9360915010074,-181.77810789079024,62.98861949529935,54.58869119520988,1033.0,1.0208215754253003,50238.78546444998,50485.24201774033,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,49897.0,49602.0,49246.0,50916.0,0.0194
2015-08-03,50138,0.0,968.0,0.01939996392568699,0.01939996392568699,0.012339536272265805,0.025462682956332472,0.032875766559720576,0.007060427653421186,1,0.013723908520083072,0.014393727271712724,0.9534645377819536,50867,50895.0,49892.0,48.57618460702931,45.04421070092585,-3.5319739061034596,33.74415672021773,54257.88815336939,48586.61184663061,0.27355185490186495,-0.9057925803925402,-899.5149117763285,-830.2518555560716,-69.26305622025689,98.66962305986696,76.0399690572708,1003.0,1.020103423394532,50205.190309633326,50422.10710542391,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,50865.0,50245.0,48736.0,49807.0,-0.0143
2015-08-04,50058,0.0,-727.0,-0.014292735672859491,-0.014292735672859491,0.004829949696374625,-0.0021295651308588237,0.02876723571897566,-0.019122685369234116,0,0.017713109737597276,0.014404053795606107,1.2297308791640713,50138,50867.0,50054.0,42.12997743621769,40.95509519254819,-1.1748822436695008,33.04726849372479,54144.881755581046,48461.51824441895,0.28090438917826904,-0.8763824432869247,-872.6719951342893,-838.7358834717153,-33.936111662574035,64.8723897911833,75.51021078211652,813.0,1.0162424581452032,50156.126873088884,50355.90581352865,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,50138.0,49897.0,49602.0,49246.0,-0.0016
2015-08-05,50287,1.0,-80.0,-0.0015955961546132436,-0.0015955961546132436,-0.015865526393394225,0.0032266468925987724,0.00919317769444783,0.014269930238780981,0,0.017015820585899802,0.014408726373680587,1.1809385607447866,50067,50574.0,49827.0,41.44904582746936,40.5191906262131,-0.9298552012562595,32.40015799769565,54063.078612077195,48334.22138792281,0.34086704130865014,-0.6365318347653999,-848.0780063676211,-840.6043080508966,-7.473698316724494,43.17718940936864,68.90640075347294,747.0,1.0149918718766933,50199.75124872592,50343.37748379617,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,50058.0,50865.0,50245.0,48736.0,0.0046
2015-08-06,50011,0.0,229.0,0.004574693355707371,0.004574693355707371,0.002971797837967305,-0.011363412955863517,0.0008359040700567366,0.0016028955177400661,0,0.009620028609927821,0.014264008685493889,0.6744267212702366,50280,50853.0,50067.0,44.34577837407149,42.40879052404969,-1.9369878500218007,32.025904942499594,53934.67432101681,48256.92567898319,0.3089383541974736,-0.7642465832101051,-800.8766988567877,-832.6587862120749,31.782087355287217,52.61106780982073,53.553549003457526,786.0,1.0156989633890587,50136.83416581728,50282.94521401504,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,50287.0,50138.0,49897.0,49602.0,-0.0055
2015-08-07,48577,0.0,-276.0,-0.005488496032771906,-0.005488496032771906,-0.0009389108633984788,-0.0025330088954486074,0.002284706495380373,-0.004549585169373427,0,0.005074362402820181,0.012462497016263268,0.40717060122046617,50013,50534.0,49624.0,41.55801841865041,40.729371832607875,-0.828646586042538,31.205637425333844,53866.41195855806,48148.08804144194,0.07500658668080007,-1.6999736532767986,-776.7859115037718,-821.4842112704143,44.69829976664255,30.44846577498033,42.078907664723204,910.0,1.0183379010156377,49616.88944387818,49972.77335692139,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50011.0,50058.0,50865.0,50245.0,-0.0287
2015-08-10,49353,1.0,-1434.0,-0.028673691787806654,-0.028673691787806654,-0.034004812376956295,-0.029585680610491827,-0.04498181460729378,0.0053311205891496405,0,0.01705029910548549,0.015200465964677088,1.1216958180826202,48578,50013.0,48512.0,30.390935258570266,33.341588703258026,2.9506534446877595,30.91360222734644,53759.60639884163,47853.49360115838,0.25389057916906416,-0.9844376833237437,-863.4522643012242,-829.8778218765764,-33.57444242464783,2.760084925690021,28.606539503497,1501.0,1.0309407981530343,49528.92629591878,49860.08729202659,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,48577.0,50287.0,50138.0,49897.0,0.016
